share,share_pct,state,P_static_s,source
1.00,100,29,0.77061121,full_sample_grid_P_static
1.00,100,30,0.66304908,full_sample_grid_P_static
1.00,100,31,0.53545485,full_sample_grid_P_static
1.00,100,32,0.40304437,full_sample_grid_P_static
1.00,100,33,0.55835826,full_sample_grid_P_static
1.00,100,34,0.42547140,full_sample_grid_P_static
1.00,100,35,0.30254540,full_sample_grid_P_static
1.00,100,36,0.20261015,full_sample_grid_P_static
1.00,100,37,0.62863663,full_sample_grid_P_static
1.00,100,38,0.49787963,full_sample_grid_P_static
1.00,100,39,0.36741201,full_sample_grid_P_static
1.00,100,40,0.25384881,full_sample_grid_P_static
1.00,100,41,0.69386325,full_sample_grid_P_static
1.00,100,42,0.57037690,full_sample_grid_P_static
1.00,100,43,0.43746298,full_sample_grid_P_static
1.00,100,44,0.31295964,full_sample_grid_P_static
1.00,100,45,0.75215029,full_sample_grid_P_static
1.00,100,46,0.63997593,full_sample_grid_P_static
1.00,100,47,0.51010006,full_sample_grid_P_static
1.00,100,48,0.37884625,full_sample_grid_P_static
1.00,100,49,0.53316366,full_sample_grid_P_static
1.00,100,50,0.40083090,full_sample_grid_P_static
1.00,100,51,0.28153542,full_sample_grid_P_static
1.00,100,52,0.18668253,full_sample_grid_P_static
1.00,100,53,0.60461222,full_sample_grid_P_static
1.00,100,54,0.47249439,full_sample_grid_P_static
1.00,100,55,0.34411997,full_sample_grid_P_static
1.00,100,56,0.23508070,full_sample_grid_P_static
1.00,100,57,0.67185587,full_sample_grid_P_static
1.00,100,58,0.54530961,full_sample_grid_P_static
1.00,100,59,0.41262678,full_sample_grid_P_static
1.00,100,60,0.29152875,full_sample_grid_P_static
1.00,100,61,0.73271896,full_sample_grid_P_static
1.00,100,62,0.61623727,full_sample_grid_P_static
1.00,100,63,0.48469320,full_sample_grid_P_static
1.00,100,64,0.35523640,full_sample_grid_P_static
