alpha,beta
0.8336499823974802,1.521174947283531
0.8089620916667791,1.5449520987020962
0.875000013945491,1.598946333741412
0.8326636047108799,1.5346470510403776
0.8264834248826529,1.4659030492692848
0.7675800590141453,1.5347168341073014
0.8651420178965059,1.6002527488734353
0.6997455129054636,1.3392979871486663
1.012632957006196,1.7039917029561122
0.8465106473872506,1.635564868155236
0.836542732948445,1.5528875679908605
0.7663399019845429,1.3697145370840438
0.7510013343160387,1.4007653579732322
0.7924574463318397,1.4546679450386413
0.7747337578854354,1.5144106762108203
0.8774577721728144,1.6077190533427819
0.8938435573710487,1.5538110528379054
0.8587462763875419,1.559467152993673
0.9555846950129949,1.6395999075055379
0.8017199049573519,1.5098398924220153
0.8517376462537903,1.537110042189242
0.8313196514234086,1.5228561900204856
0.79543249045702,1.4652534560475061
0.7740550774888705,1.4814691782765597
0.7862900666435069,1.4816873855141635
0.9219915522542346,1.6485805594597542
0.8803783973982935,1.5363083399722341
0.7793782096644468,1.4836142395903489
0.6936705787088109,1.3831563826748723
0.8379227187639919,1.5467623740917587
0.822062884065735,1.560365751506707
0.8567026283757609,1.6018176089252067
0.905432343602415,1.6914534741152027
0.793803941043834,1.5000952149205296
0.7908062350609704,1.535418567839815
0.777685360422463,1.4246612306200443
0.779455124215007,1.51452717180599
0.8166227744670066,1.4973685333751017
0.8164694640339214,1.4872198014574018
0.8004114682041426,1.5231117520833628
0.8648601835258917,1.6084070199179081
0.8358383959627317,1.5484987130145258
0.8260104252796208,1.5048551410649509
0.7487315565777133,1.4166719023844692
0.8035966201992929,1.4499965361543885
0.8967094174451695,1.5986339023334915
0.8266779859433143,1.451029076507551
0.9307485843437475,1.6170610174606734
0.7674350907968515,1.5533885118171062
0.7834857538744542,1.4598124198085942
0.7861179820362049,1.4977270846049322
0.7604957610990803,1.4435123476434084
0.7050895309978628,1.3258121620659087
0.7728172057054352,1.508974571476428
0.8587288915064555,1.5396008257841314
0.8320337768084488,1.553234984009776
0.9483537071750061,1.6437884692501945
0.7130150204097941,1.4476974611883149
0.7276592320074584,1.4306754349112958
0.7797579566479413,1.5011576785983252
0.7671514115422083,1.462189469480172
0.7985473148294988,1.4880303453101527
0.7966508126217985,1.5328461264232387
0.7669513041772013,1.379313230717862
0.8219027074052836,1.4909128510922431
0.8583279095251758,1.6302693568240312
0.8193248201861874,1.5061992072970356
0.8916648831799692,1.6809439524597216
0.7597448976461938,1.4644311928641123
0.8152788745476138,1.5684059814120308
0.8173896512256038,1.4876017165545914
0.746504610481703,1.516468743899598
0.7082741925172279,1.3548574873436867
0.7197653039079446,1.450210802928412
0.7687829546199404,1.434207172381883
0.8445016199395774,1.5675320745029482
0.6804491984180512,1.3540403570280963
0.8622845338676156,1.5461790612140547
0.887674869706836,1.5882450166005615
0.8249358446549199,1.4930330098436309
0.7891320611596726,1.4981758199740611
0.77821313850904,1.5148159836267563
0.8121890779014183,1.539860589050438
0.6970690398906787,1.4266843829399374
0.7405800828543818,1.4639595955415925
0.8772936122044275,1.5981235410459305
0.7251689268368329,1.3710495542333703
0.7188865539194429,1.4385530814543523
0.8267068717538646,1.6029747991072452
0.905667373194759,1.5922553218166415
0.8104521914499422,1.5065460859533226
0.9067826022452528,1.6064934830381268
0.7903599666405523,1.4665130897197463
0.7992531420784985,1.4987725213595335
0.8020398482294013,1.489703038232759
0.9065260744439764,1.6762664326014998
0.7382977495106576,1.413157383569154
0.8242129736869309,1.5356868210977268
0.9028478818490724,1.661854570630569
0.8757059514419917,1.6198764305416709
0.8195629642186607,1.5636756015815498
0.7591086637417069,1.3996407525301786
0.7212642637315323,1.3793253967762202
0.8249450803789646,1.549041248362919
0.6873407962413798,1.3323451503122066
0.7590496472409864,1.50123539097192
0.8626134829815726,1.5201341021741852
0.8639222738995134,1.5731642729132131
0.6681598195355319,1.33943255922578
0.7665909372182804,1.5260424687638547
0.7520903364665975,1.5012436723382891
0.8248535423568075,1.6098232741393916
0.7612344292235289,1.4192899617784756
0.7592122823566886,1.4084171332299247
0.8734097743983211,1.6239320158124584
0.9029125633181248,1.663738808784096
0.7428642987760785,1.476297235300357
0.8450306986837104,1.5999081285144368
0.9066018329336544,1.6426296287166406
0.7016694718352426,1.3894450326554593
0.8300050238108347,1.5073126556946135
0.7562487345170372,1.4311993328763695
0.705387863817564,1.363874973453024
0.8733253164749709,1.596968141422997
0.7649258577238072,1.4678548774722355
0.7291772301358715,1.3333401772999516
0.7498069251781889,1.467013010541931
0.8669541237954351,1.5975820285580387
0.8106920022286671,1.5086510950652823
0.841930327604213,1.5819152112167556
0.7733391412536391,1.41914349193248
0.8116787181038989,1.554746834619356
0.7187409463970809,1.3838850408117114
0.8900184730400383,1.5876742294489004
0.7608614902283528,1.5138351101503271
0.7227858174099102,1.362243728941536
0.8070208032951443,1.4872092803486276
0.9698939378957193,1.6953377693768996
0.7000415209879383,1.3979042856345405
0.9411963604139658,1.5989064566779327
0.7863626803868501,1.4813269036038827
0.7838479369379552,1.52227692907642
0.8967773637198311,1.6634381231001258
0.7623892943404247,1.4591394506363313
0.8639618456212286,1.6193445936554896
0.7292747129240276,1.4323427171039769
0.7776589915305147,1.3906880063356666
0.8477380329010297,1.4748931184478784
0.9031634779271343,1.6758820484542571
0.7467173145924973,1.4806008819551364
0.8230457386429428,1.6020467384030503
